"","CollectionDate","SRP","TotalN","TP","Year","Month","NHx","NOx","NtoP","TotalNmol","TPmol","SRPmol","NHxmol","NOxmol","SiCorrNeeded","corr_SRP","corr_TP","corr_SRPmol","corr_TPmol","corr_NtoP","DateD","NDate"
"1",1984-02-01,1,90.11,4.14033333333333,1984,2,0,30.9846666666667,48.1255633698787,6.43321196544585,0.133675566891594,0.0322861847415491,0,2.21208443397349,"Yes",0.0258289477932393,2.54033333333333,0.00083391818013235,0.0820176713051152,78.4369010126313,5144,5144
"2",1984-03-05,1,94.6003333333333,3.98733333333333,1984,3,0,30.1606666666667,52.4624136268264,6.75378977178078,0.128735780626137,0.0322861847415491,0,2.15325670498084,"Yes",0.0258289477932393,2.38733333333333,0.00083391818013235,0.0770778850396582,87.6229254124683,5177,5177
"3",1984-04-03,1,117.411333333333,1.82166666666667,1984,4,0,61.8423333333333,142.521128430687,8.38233264320221,0.0588146665375219,0.0322861847415491,0,4.41510197282311,"Yes",0.0258289477932393,0.8,0.00083391818013235,0.0258289477932393,324.532486197377,5206,5206
"4",1984-04-30,1.27266666666667,90.6746666666667,4.623,1984,4,0,30.7116666666667,43.3710781373731,6.47352514219081,0.149259032060181,0.0410895511144115,0,2.19259417910093,"Yes",0.0258289477932393,3.023,0.00083391818013235,0.0976011364737029,66.3263295498101,5233,5233
"5",1984-05-15,1,115.524,2.90866666666667,1984,5,0,26.5153333333333,87.8246459756926,8.24759049046905,0.0939097493515858,0.0322861847415491,0,1.89300587801337,"Yes",0.0258289477932393,1.30866666666667,0.00083391818013235,0.0422518537651073,195.200677734053,5248,5248
"6",1984-05-21,1,91.9523333333333,3.815,1984,5,0,13.3673333333333,53.2974407821989,6.56474143880441,0.12317179478901,0.0322861847415491,0,0.954332357630709,"Yes",0.0258289477932393,2.215,0.00083391818013235,0.0715138992025312,91.7967208054578,5254,5254
"7",1984-08-07,1,107.362333333333,3.307,1984,8,0,38.1226666666667,71.7886672097303,7.66490564241689,0.106770412940303,0.0322861847415491,0,2.72168677565979,"Yes",0.0258289477932393,1.707,0.00083391818013235,0.0551125173538243,139.077400388154,5332,5332
"8",1984-09-05,1,120.090333333333,3.558,1984,9,0,32.732,74.6346070186085,8.5735941553033,0.114874245310432,0.0322861847415491,0,2.3368315842079,"Yes",0.0258289477932393,1.958,0.00083391818013235,0.0632163497239531,135.623049934734,5361,5361
"9",1984-10-02,1,94.042,5.35166666666667,1984,10,0,28.8343333333333,38.8571501409503,6.71392874991076,0.17278489867519,0.0322861847415491,0,2.05856595511768,"Yes",0.0258289477932393,3.75166666666667,0.00083391818013235,0.121127003088712,55.4288356741855,5388,5388
"10",1984-11-12,1,115.458666666667,5.09833333333333,1984,11,0,47.0463333333333,50.076786890261,8.24292615596963,0.164605731873998,0.0322861847415491,0,3.35877299445515,"Yes",0.0258289477932393,3.49833333333333,0.00083391818013235,0.112947836287519,72.9799385885224,5429,5429
